Method,Top_K,RRF_K,Model,Recall,NDCG,MRR,Time_Taken_Sec,Time_Dense,Time_Sparse,Time_RRF,Time_Colbert,Time_CrossEncoder
default,10,10,dense,0.5245,0.404,0.3657,1530.46,9.32,111.95,0.26,678.18,560.42
default,10,10,sparse,0.5125,0.3981,0.3618,1530.46,9.32,111.95,0.26,678.18,560.42
default,10,10,rrf,0.5646,0.4335,0.3918,1530.46,9.32,111.95,0.26,678.18,560.42
default,10,10,colbert,0.5986,0.4928,0.4589,1530.46,9.32,111.95,0.26,678.18,560.42
default,10,10,cross_encoder,0.6176,0.5552,0.5351,1530.46,9.32,111.95,0.26,678.18,560.42
default,10,20,dense,0.5245,0.404,0.3657,1530.46,9.32,111.95,0.26,678.18,560.42
default,10,20,sparse,0.5125,0.3981,0.3618,1530.46,9.32,111.95,0.26,678.18,560.42
default,10,20,rrf,0.5646,0.4336,0.3919,1530.46,9.32,111.95,0.26,678.18,560.42
default,10,20,colbert,0.5986,0.4928,0.4589,1530.46,9.32,111.95,0.26,678.18,560.42
default,10,20,cross_encoder,0.6176,0.5552,0.5351,1530.46,9.32,111.95,0.26,678.18,560.42
default,10,60,dense,0.5245,0.404,0.3657,1530.46,9.32,111.95,0.26,678.18,560.42
default,10,60,sparse,0.5125,0.3981,0.3618,1530.46,9.32,111.95,0.26,678.18,560.42
default,10,60,rrf,0.5646,0.4336,0.3919,1530.46,9.32,111.95,0.26,678.18,560.42
default,10,60,colbert,0.5986,0.4928,0.4589,1530.46,9.32,111.95,0.26,678.18,560.42
default,10,60,cross_encoder,0.6176,0.5552,0.5351,1530.46,9.32,111.95,0.26,678.18,560.42
default,10,80,dense,0.5245,0.404,0.3657,1530.46,9.32,111.95,0.26,678.18,560.42
default,10,80,sparse,0.5125,0.3981,0.3618,1530.46,9.32,111.95,0.26,678.18,560.42
default,10,80,rrf,0.5646,0.4336,0.3919,1530.46,9.32,111.95,0.26,678.18,560.42
default,10,80,colbert,0.5986,0.4928,0.4589,1530.46,9.32,111.95,0.26,678.18,560.42
default,10,80,cross_encoder,0.6176,0.5552,0.5351,1530.46,9.32,111.95,0.26,678.18,560.42
default,10,100,dense,0.5245,0.404,0.3657,1530.46,9.32,111.95,0.26,678.18,560.42
